uniqueNo,program,assignments,project,participation,exam
1,JC21,100,94.63,100,83
2,CDS,96.92,93.5,100,84
222,JC21,88,94,100,92
10,APSY,96.23,88.38,100,88
209,FLL,88,95.75,90,91
194,STAT,98.33,94.25,80,84
54,JC21,100,93.88,100,75
182,JC21,98,93.5,100,75
142,FM,97.73,94.25,100,74
261,CDS,98.4,91.5,100,75
56,JC21,89.65,86.25,100,89
223,JC21,94,91.13,90,83
20,APSY,97.94,83.98,100,82
13,APSY,98.62,83.13,100,82
242,JC21,92.67,93.38,90,81
206,FLL,98.67,86.75,100,78
105,CDS,84.92,93.375,100,85
119,JC21,82.93,84.425,100,95
37,FLL,98.6,92.38,90,72
192,STAT,98.33,93.625,90,70
89,CDS,84.25,87.75,100,86
111,CDS,90.06,88.525,100,79
64,ENVS,84.21,94.125,100,77
211,FLL,85.33,93.25,100,76
59,AM,98.21,80.375,100,76
31,FM,98.96,90.63,90,68
181,JC21,96.69,84.25,100,73
60,AI,91.71,76.225,90,89
198,APSY,86.67,93.88,100,73
267,JC21,98.4,80.88,100,74
244,AM,91.33,88.875,100,73
280,JC21,95.91,77.13,100,80
155,FLL,96.22,75.5,100,81
72,CDS,89.04,89.875,100,73
293,JC21,90.37,79.25,100,82
245,AI,95.81,89.25,100,65
263,CDS,94.4,81.38,100,74
301,AM,95.75,79.88,100,74
14,APSY,96.25,80.25,100,72
272,JC21,89.34,88.75,100,70
224,JC21,77.33,89.25,100,81
208,FLL,94.33,82,100,71
15,APSY,92.73,80.25,100,74
199,APSY,95.33,91.625,100,60
140,APSY,94.91,93.5,100,58
214,CDS,87.4,80.88,100,78
176,JC21,93.7,84.25,100,68
40,CDS,94.42,79.75,90,75
144,FLL,92.95,78.75,100,74
298,JC21,96.48,78.25,100,69
100,CDS,87.05,89.625,100,67
35,FM,93.83,76.75,100,73
187,GAD,98.02,82.25,100,63
141,APSY,89.99,93.5,100,59
177,JC21,98.26,73,100,71
73,CDS,84.56,88.5,100,69
115,JC21,76.35,82.65,100,83
221,JC21,96,88.88,100,57
225,JC21,91.33,86.75,90,67
146,FLL,95.81,85.75,100,60
269,JC21,84.76,89.75,100,67
19,APSY,86.58,74.75,90,83
259,FLL,85.56,79.13,100,76
133,STAT,91.87,78.75,100,70
190,STAT,83.67,80.75,100,76
238,JC21,84.83,94.63,80,67
200,APSY,98.4,79.63,100,61
81,CDS,79.67,87.175,100,72
128,ENVS,93.42,84.25,100,61
163,CDS,89.36,73,100,76
189,GAD,93.99,82.25,100,62
74,CDS,84.62,84.425,100,69
130,ENVS,97.75,73,100,66
226,JC21,94,91.63,100,51
262,CDS,88.46,78.13,100,70
8,APSY,90.67,83.13,90,66
126,AI,83.92,87.125,100,65
18,APSY,91.02,79.95,100,65
85,CDS,83.21,89.625,100,63
49,CDS,93.4,78.5,90,67
230,JC21,91,83.38,90,64
21,APSY,94.08,81.63,90,62
260,FLL,88.5,88.75,100,57
247,AI,94.33,92.63,100,47
132,STAT,92.37,72.25,100,69
237,JC21,95.67,77.75,90,63
24,FM,97.52,82.88,100,52
102,CDS,84.92,81.25,100,66
292,JC21,94.46,76.63,100,61
118,JC21,82.04,81.75,100,68
183,AM,97.05,72.25,100,62
278,JC21,92.66,80.5,100,58
166,CDS,90.36,78.75,100,62
197,FST,83,87.875,100,60
48,CDS,93.29,79.75,90,61
11,APSY,84.86,79.13,90,70
62,GAD,89.98,86.25,100,54
25,FM,94.98,82.25,90,56
265,CDS,79.75,89.75,100,60
6,FST,85.79,80.75,90,66
9,APSY,78.71,77.75,90,76
104,CDS,89.04,80,100,60
127,GAD,84.92,81.25,100,62
27,FM,88.96,80.5,90,62
175,JC21,92.85,72.25,100,63
101,CDS,84.23,79.125,100,64
185,JC21,84.83,85.75,100,56
120,JC21,79.15,88.375,100,59
53,JC21,96.12,80.25,100,50
91,CDS,70.75,87.425,100,68
281,JC21,96.75,87.88,100,41
249,GAD,95.33,80.25,100,50
172,CDS,95.08,82.25,100,48
273,JC21,87.85,78.13,100,59
178,JC21,95.79,82.25,100,46
117,JC21,84.29,82,100,57
216,CDS,89.67,87.25,100,46
12,APSY,86.9,80.88,90,58
82,CDS,72.67,79.75,100,70
4,STAT,86.06,75.63,90,64
168,CDS,92.03,82.25,100,48
46,CDS,90.6,77.63,90,57
219,JC21,88.5,87.38,100,46
289,JC21,97.19,78.25,100,46
149,FLL,89.08,94.25,100,38
28,FM,70.73,90.63,90,63
258,FLL,96.06,76.38,100,48
96,CDS,83.58,79.75,100,56
150,FLL,92.87,94.25,100,32
193,STAT,89.67,93.625,80,42
116,JC21,61.08,93.25,100,64
17,APSY,82.62,75.88,90,63
52,JC21,70.02,80.88,100,67
302,AM,64.44,91,100,62
162,CDS,94.69,72.25,100,50
191,STAT,89.33,93.625,90,36
107,CDS,81.19,87.425,100,47
203,FM,72.5,89.63,80,60
271,JC21,89.6,76.5,100,48
71,FLL,84.23,83,100,46
171,CDS,97.31,78.75,100,37
42,CDS,91.54,71.38,100,50
157,CDS,95.89,68,100,49
70,FM,61.46,83.375,100,68
147,FLL,95.04,84.25,100,33
129,ENVS,81.48,94.25,100,36
84,CDS,86.69,78.875,100,46
110,CDS,81.48,77.75,100,52
114,JC21,63.9,68.875,100,78
88,CDS,82.9,81.65,100,46
86,CDS,72.96,82.4,100,55
75,CDS,79.46,77.75,100,53
251,APSY,67.91,83.13,100,59
112,CDS,70.25,81.5,100,58
135,FST,91.33,49,100,69
38,FLL,87.54,75,90,50
90,CDS,73.75,86.3,100,49
80,CDS,75,81.9,100,52
44,CDS,83.42,74.75,90,54
220,JC21,82.67,82.38,90,47
145,FLL,93.75,51.25,100,63
97,CDS,68.65,79.9,100,59
122,AI,77.42,93.25,100,36
131,ENVS,89.64,68,100,49
76,CDS,78.79,82.775,100,45
95,CDS,83.44,81.5,100,41
7,FST,78.83,80.75,100,46
148,FLL,87.73,75.5,100,42
98,CDS,69.52,86.5,100,49
108,CDS,84.25,81.5,100,39
83,CDS,62,87.425,100,55
268,JC21,78.81,78.25,80,54
256,FM,82.42,78.75,100,43
93,CDS,74.35,71.125,100,58
106,CDS,87.71,81.75,100,34
282,JC21,94.1,78.25,100,31
159,CDS,97.14,68,100,38
233,JC21,90.67,76.5,80,42
134,STAT,87.79,46.5,100,68
207,FLL,85.33,85,90,35
30,FM,82.31,76.88,90,46
16,APSY,84.17,80,90,41
188,GAD,89.13,82.25,100,30
266,CDS,84.04,79,100,38
51,JC21,80.44,76.23,100,44
32,FM,90.33,73.25,90,39
92,CDS,84.25,68.875,100,45
295,JC21,76.97,77.13,100,44
78,CDS,67.1,85.925,100,44
79,CDS,77.1,88.875,100,31
257,FM,52.35,79.88,80,71
65,APSY,77.87,84.375,100,34
246,AI,85.67,66.25,100,44
195,FST,77.33,78.25,90,43
212,CDS,88,80.13,90,30
241,JC21,86,51.25,90,60
151,FLL,93.12,52.5,100,48
58,AM,81.79,75.13,90,40
68,FM,71.4,58.125,70,74
270,JC21,45.17,78.25,100,70
152,FLL,75.93,73,100,43
173,CDS,63.5,82.25,100,46
255,APSY,69.6,71.88,60,63
285,JC21,60.08,75.75,100,55
5,STAT,87.29,76,70,37
254,APSY,72.6,71.88,80,52
160,CDS,91.16,57.5,100,41
167,CDS,75.96,82.25,100,31
123,AI,66.81,72.125,70,60
22,APSY,55.25,72,90,65
109,CDS,85,78.875,100,25
124,AI,71.56,76,100,41
87,CDS,43.94,87.175,100,57
284,JC21,65.73,64.5,80,64
196,FST,81,63.125,100,43
39,CDS,84.1,69.63,80,40
252,APSY,96.87,90.13,100,0
156,FLL,76.79,75.5,100,34
248,AI,69.33,76.5,80,47
161,CDS,91.25,57.5,100,37
103,CDS,72.42,78.25,100,35
232,JC21,77,79,90,33
303,AM,75.36,69.75,80,47
300,JC21,67.29,78.13,100,40
202,FM,70.07,63.13,100,52
180,JC21,76.37,68,100,40
125,AI,75.37,78.625,70,40
215,CDS,76,82.38,100,25
33,FM,81.06,74.13,90,31
77,CDS,80.83,77.125,100,24
165,CDS,92.42,57.5,100,32
94,CDS,61.77,70.75,100,49
153,FLL,94.83,52.5,100,33
287,JC21,81.06,77.25,80,28
136,FST,88.62,49,100,41
239,JC21,85.67,50,90,46
138,FST,90.94,52.5,100,34
170,CDS,71.37,51.25,100,54
26,FM,49.29,79.75,90,50
240,JC21,88.4,51.25,90,39
50,JC21,67.48,76.23,100,29
236,JC21,60.77,81.125,90,33
253,APSY,65.71,71.88,100,33
231,JC21,63.67,86,50,37
283,JC21,62.67,77.13,100,30
174,CDS,66.75,49,100,54
69,FM,61.15,66.625,100,40
229,JC21,62.77,78.375,70,35
201,APSY,78.21,91.63,80,0
47,CDS,58.46,75.38,90,32
274,JC21,67.77,70.13,80,28
3,STAT,83.58,34.38,90,42
121,AI,55.12,81.75,70,29
29,FM,51.17,80.3,90,26
288,JC21,29.83,66.25,60,64
279,JC21,86.25,69.38,60,0
297,JC21,33.75,75.75,100,32
67,FM,26.29,69,100,43
169,CDS,55.98,51.25,100,31
61,AI,25.77,80.75,90,35
213,CDS,19.33,76.5,40,61
205,FM,42.67,77.75,80,21
228,JC21,69,75.25,70,0
243,AM,22,82.38,80,35
1,STAT,5.67,90.63,80,41
57,JC21,22.42,72,90,39
184,JC21,61.01,75.5,80,0
210,FLL,27.25,92.63,90,0
66,APSY,26.65,54.25,100,32
234,JC21,21.67,55.25,60,47
113,CDS,10.25,61.625,70,48
294,JC21,18.06,77.13,80,21
235,JC21,67.33,54.63,60,0
43,CDS,26.98,70.25,70,20
296,JC21,41.27,62,60,14
186,AI,30.42,51.5,80,27
99,CDS,86.71,44.75,0,0
154,FLL,27.54,52.5,80,24
41,CDS,62.4,9,60,39
275,JC21,30.15,88.75,20,0
55,JC21,20.42,31.75,100,37
139,FST,22.52,51.25,80,20
291,JC21,21.96,61.25,20,30
286,JC21,23.25,56,20,31
217,JC21,17.08,55.25,60,24
45,CDS,22.33,32.63,90,24
227,JC21,0,50.5,100,25
276,JC21,15.38,54.25,20,23
277,JC21,16.63,59.5,0,23
143,FLL,0,46.5,80,21
179,JC21,6.59,46.5,60,0
63,MAD,45.15,27.4,0,0
137,FST,0,51.5,60,0
204,FM,10.21,0,60,38
2,STAT,5.31,5.63,80,26
250,GAD,8.75,0,80,22
164,CDS,12.81,0,40,23
264,CDS,21.94,0,60,0
36,FLL,0,0,20,23
34,FM,0,0,40,0
299,JC21,6.45,0,0,0
290,JC21,6.38,0,0,0
